Compound ID,DOI,Uniprot,cell_line_assay,readout_assay,timepoint_assay,cell_lines_abstract,readouts_abstract,cell_lines_fulltext,readouts_fulltext,cell_lines_chembl,cell_line_best
16,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
16,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
17,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
17,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
18,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
18,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
19,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
19,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
20,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
20,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
21,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
21,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
22,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
22,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
22,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
22,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
22,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
22,10.1002/cbic.202300351,Q9H8M2,,,,,,,,HEK293; U2OS,
22,10.1002/cbic.202300351,Q9NPI1,,,,,,,,HEK293; HEK293T; HL-60; U2OS,
23,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
23,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
24,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
24,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
25,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
25,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
26,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
26,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
27,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
27,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
28,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
28,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
29,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
29,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
30,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
30,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
31,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
31,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
32,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
32,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
33,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
33,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
34,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
34,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
35,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
35,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
36,10.1021/acs.jmedchem.9b00455,Q07820,,other,,,,,,,
37,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
38,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
39,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
40,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
41,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
42,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
43,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
44,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
45,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
46,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
47,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
48,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
49,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
50,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
51,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
52,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
53,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
54,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
55,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
56,10.1021/acs.jmedchem.8b00909,Q00987,RS4;11,other,,RS4;11; human leukemia cells,degradation reporter,RS4;11,Western blot,LNCaP; LnCAP; MCF7; MDA-MB-231; PC3; U2OS,RS4;11
57,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
58,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
59,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
60,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
61,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
62,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
63,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
64,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
65,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
66,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
67,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
68,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
69,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
70,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
71,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
72,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
73,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
74,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
75,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
76,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
77,10.1021/acs.jmedchem.8b01572,P03372,MCF-7,other,4.0,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
78,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
79,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
80,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
81,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
82,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
83,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
84,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
85,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
86,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
87,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
88,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
89,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
90,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
91,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
92,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
93,10.1021/acs.jmedchem.8b01572,P03372,,,,MCF-7; T47D,degradation reporter,,,HeLa; MCF-7,MCF-7
94,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
95,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
96,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
97,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
98,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
99,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
100,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
101,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,other,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
102,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
103,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
104,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
105,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
106,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
107,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
108,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
109,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
110,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
111,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,Western blot,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
112,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
113,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
114,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
115,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
116,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
117,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
118,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
118,10.1021/acs.jmedchem.9b01393,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
119,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
120,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
121,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
122,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
123,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
124,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
125,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
126,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
127,10.1021/acs.jmedchem.8b01631,P10275,LNCaP,degradation reporter,6.0,LNCaP; VCaP; 22Rv1,Western blot,,,MCF-7; PC-3; PC3,LNCaP
128,10.1021/acs.jmedchem.6b01816,P25440,,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
128,10.1021/acs.jmedchem.6b01816,Q15059,,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
128,10.1021/acs.jmedchem.6b01816,O60885,,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
129,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
129,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
129,10.1021/acs.jmedchem.6b01816,O60885,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
130,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
130,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
130,10.1021/acs.jmedchem.6b01816,O60885,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
131,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
131,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
131,10.1021/acs.jmedchem.6b01816,O60885,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
132,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
132,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
132,10.1021/acs.jmedchem.6b01816,O60885,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
133,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
133,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
133,10.1021/acs.jmedchem.6b01816,O60885,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,,RS4;11
134,10.1021/acs.jmedchem.6b01816,P25440,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60,RS4;11
134,10.1021/acs.jmedchem.6b01816,Q15059,RS4;11,other,,RS4;11,,RS4;11; MOLM-13,Western blot; cell growth assay,HL60; Jurkat,RS4;11
