caco2_wang,pampa_ncats,hia_hou,solubility_aqsoldb,pgp_broccatelli,lipophilicity_astrazeneca,clearance_hepatocyte_az
0.248706,0.280392,0.291369,0.323276,0.523458,0.299156,0.488806
0.237076,0.274170,0.303231,0.314115,0.614755,0.330762,0.511480
0.249295,0.282299,0.291708,0.333241,0.527753,0.299806,0.487228
0.324685,0.308406,0.294218,0.311052,0.658030,0.472487,0.476111
0.286949,0.304366,0.280623,0.194577,0.595990,0.527249,0.515044
0.285897,0.305376,0.282078,0.155540,0.619886,0.577326,0.525566
0.244843,0.290844,0.271543,0.455574,0.360757,0.248277,0.507213
0.244843,0.290844,0.271543,0.455574,0.360757,0.248277,0.507213
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.307202,0.291729,0.264787,0.206992,0.603623,0.452857,0.536885
0.279931,0.241730,0.282309,0.200432,0.664349,0.468620,0.529972
0.287304,0.249266,0.288718,0.198004,0.667827,0.487951,0.524317
0.232668,0.317942,0.262764,0.364709,0.486946,0.233451,0.567154
0.284183,0.295976,0.295079,0.311795,0.618053,0.369434,0.592334
0.396422,0.357012,0.323671,0.171340,0.733303,0.565256,0.613894
0.410718,0.362271,0.326709,0.147301,0.818074,0.600355,0.612178
0.417242,0.371864,0.327382,0.130409,0.842203,0.651070,0.588298
0.335122,0.339771,0.274048,0.268591,0.700267,0.528254,0.553775
0.343029,0.328225,0.274668,0.246819,0.711131,0.530109,0.556646
0.347939,0.334381,0.279099,0.261871,0.707579,0.516531,0.572654
0.350705,0.326323,0.279690,0.243241,0.732348,0.510710,0.572784
0.343173,0.335236,0.277609,0.271978,0.699254,0.507005,0.569451
0.336255,0.332774,0.272648,0.280583,0.692180,0.490132,0.565206
0.276345,0.294737,0.302029,0.239330,0.686244,0.473977,0.581899
0.265898,0.290005,0.293034,0.270157,0.653140,0.446922,0.578521
0.267699,0.295544,0.289357,0.278536,0.648502,0.427439,0.573795
0.330799,0.302408,0.279473,0.146794,0.843686,0.676627,0.565962
0.331642,0.329171,0.268077,0.128453,0.809246,0.592840,0.484783
0.318938,0.309916,0.253444,0.147821,0.820010,0.583058,0.524533
0.320446,0.334775,0.309790,0.193654,0.724952,0.456169,0.635811
0.321607,0.336128,0.307785,0.190998,0.723817,0.452700,0.629989
0.331229,0.342451,0.319357,0.202815,0.728648,0.427831,0.615312
0.286250,0.320368,0.291986,0.233869,0.666732,0.528509,0.611010
0.286250,0.320368,0.291986,0.233869,0.666732,0.528509,0.611010
0.286250,0.320368,0.291986,0.233869,0.666732,0.528509,0.611010
0.317004,0.319871,0.295885,0.207980,0.726004,0.518752,0.628514
0.325561,0.295395,0.289993,0.185264,0.720259,0.496343,0.571317
0.366356,0.384549,0.356108,0.172757,0.845166,0.511969,0.632625
0.366356,0.384549,0.356108,0.172757,0.845166,0.511969,0.632625
0.333737,0.282504,0.275028,0.172950,0.613365,0.526687,0.486262
0.333737,0.282504,0.275028,0.172950,0.613365,0.526687,0.486262
0.333737,0.282504,0.275028,0.172950,0.613365,0.526687,0.486262
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.270348,0.225627,0.283267,0.179163,0.635427,0.460931,0.545938
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.228947,0.226785,0.331363,0.170153,0.600915,0.443226,0.471310
0.405924,0.378381,0.315843,0.171774,0.841023,0.533191,0.593783
0.351219,0.334714,0.266444,0.224196,0.710468,0.533021,0.560264
0.351219,0.334714,0.266444,0.224196,0.710468,0.533021,0.560264
0.310416,0.289901,0.265794,0.193345,0.596792,0.475679,0.511698
0.310416,0.289901,0.265794,0.193345,0.596792,0.475679,0.511698
0.310416,0.289901,0.265794,0.193345,0.596792,0.475679,0.511698
0.310416,0.289901,0.265794,0.193345,0.596792,0.475679,0.511698
0.310416,0.289901,0.265794,0.193345,0.596792,0.475679,0.511698
0.305537,0.289165,0.265657,0.201824,0.597024,0.452334,0.510404
0.305537,0.289165,0.265657,0.201824,0.597024,0.452334,0.510404
0.305537,0.289165,0.265657,0.201824,0.597024,0.452334,0.510404
0.269110,0.243369,0.328737,0.144150,0.650833,0.452566,0.495369
0.269110,0.243369,0.328737,0.144150,0.650833,0.452566,0.495369
0.258300,0.259956,0.315450,0.163852,0.728015,0.390739,0.543222
0.315883,0.323803,0.347870,0.165959,0.551118,0.449292,0.444642
0.301972,0.274573,0.299298,0.141771,0.726588,0.444318,0.526454
0.275376,0.269662,0.304731,0.164282,0.689117,0.396788,0.508427
0.430340,0.399200,0.338925,0.143611,0.748111,0.532770,0.515511
0.411135,0.372719,0.322077,0.152584,0.700583,0.521369,0.514011
0.418134,0.389417,0.323906,0.143656,0.755801,0.511912,0.524781
0.424565,0.387219,0.341229,0.133864,0.754786,0.536530,0.503373
0.432669,0.378286,0.349975,0.136772,0.750502,0.533925,0.506281
0.415331,0.405936,0.324314,0.151502,0.763219,0.506496,0.530209
0.345266,0.366322,0.312086,0.165155,0.648176,0.417417,0.484496
0.413087,0.402489,0.316246,0.150343,0.742371,0.524935,0.521457
0.416056,0.398158,0.323209,0.160753,0.743591,0.507874,0.534652
0.453915,0.441320,0.364303,0.146117,0.758976,0.531993,0.532856
0.407926,0.399619,0.319910,0.137202,0.786391,0.579308,0.525036
0.415116,0.401652,0.336516,0.139041,0.749196,0.563498,0.510496
0.437381,0.437346,0.385974,0.131825,0.752348,0.603079,0.517810
0.410055,0.412868,0.337787,0.132380,0.732275,0.586111,0.504747
0.432775,0.362737,0.321308,0.138579,0.746244,0.565495,0.522965
0.458991,0.398050,0.366282,0.130374,0.739137,0.574894,0.508967
0.446829,0.406305,0.359815,0.123801,0.751848,0.572293,0.504050
0.442099,0.412168,0.339236,0.136052,0.767839,0.544111,0.533337
0.424551,0.395376,0.331153,0.146210,0.698871,0.559927,0.518099
0.462846,0.433358,0.381486,0.135809,0.747509,0.572681,0.521164
0.365785,0.383987,0.344763,0.159265,0.639547,0.461668,0.486428
0.254992,0.287300,0.308229,0.291729,0.481925,0.327124,0.523242
0.254992,0.287300,0.308229,0.291729,0.481925,0.327124,0.523242
0.257981,0.285406,0.307641,0.311558,0.468128,0.320846,0.526214
0.257981,0.285406,0.307641,0.311558,0.468128,0.320846,0.526214
0.260627,0.284408,0.305710,0.322564,0.471837,0.317635,0.523416
0.260627,0.284408,0.305710,0.322564,0.471837,0.317635,0.523416
0.307277,0.314162,0.326320,0.253396,0.588214,0.410464,0.539505
0.307277,0.314162,0.326320,0.253396,0.588214,0.410464,0.539505
0.311989,0.317997,0.338102,0.228864,0.658819,0.439133,0.516437
0.311989,0.317997,0.338102,0.228864,0.658819,0.439133,0.516437
0.313952,0.318665,0.337277,0.225028,0.673541,0.441476,0.518956
0.313952,0.318665,0.337277,0.225028,0.673541,0.441476,0.518956
0.310954,0.321710,0.338439,0.223590,0.614423,0.407083,0.575139
0.310954,0.321710,0.338439,0.223590,0.614423,0.407083,0.575139
0.385179,0.356901,0.326331,0.163183,0.734254,0.502353,0.548232
0.385179,0.356901,0.326331,0.163183,0.734254,0.502353,0.548232
0.374380,0.336818,0.365158,0.201950,0.682913,0.447751,0.532545
0.374380,0.336818,0.365158,0.201950,0.682913,0.447751,0.532545
0.381973,0.341768,0.357715,0.196628,0.701850,0.459929,0.533801
0.381973,0.341768,0.357715,0.196628,0.701850,0.459929,0.533801
0.351343,0.321748,0.311177,0.217355,0.667779,0.477428,0.588088
0.351343,0.321748,0.311177,0.217355,0.667779,0.477428,0.588088
0.348763,0.324148,0.305074,0.219511,0.659220,0.449143,0.587617
0.348763,0.324148,0.305074,0.219511,0.659220,0.449143,0.587617
0.349710,0.326402,0.305554,0.225717,0.658137,0.440989,0.585162
0.349710,0.326402,0.305554,0.225717,0.658137,0.440989,0.585162
0.349724,0.325537,0.305786,0.234136,0.650062,0.429136,0.584875
0.349724,0.325537,0.305786,0.234136,0.650062,0.429136,0.584875
0.321566,0.322639,0.292859,0.303363,0.663493,0.397022,0.536618
0.316730,0.322322,0.292172,0.304323,0.654447,0.397864,0.535607
0.288988,0.304618,0.316611,0.193506,0.610224,0.366547,0.501735
0.288988,0.304618,0.316611,0.193506,0.610224,0.366547,0.501735
0.288988,0.304618,0.316611,0.193506,0.610224,0.366547,0.501735
0.419205,0.363606,0.310813,0.172755,0.808329,0.604220,0.507483
0.419205,0.363606,0.310813,0.172755,0.808329,0.604220,0.507483
0.420201,0.361056,0.314306,0.185051,0.787419,0.590281,0.526222
0.420201,0.361056,0.314306,0.185051,0.787419,0.590281,0.526222
0.417422,0.360925,0.313422,0.188669,0.773556,0.584975,0.522645
0.417422,0.360925,0.313422,0.188669,0.773556,0.584975,0.522645
0.291712,0.322760,0.291574,0.271720,0.661598,0.421309,0.552769
0.291712,0.322760,0.291574,0.271720,0.661598,0.421309,0.552769
0.294549,0.322354,0.294862,0.275412,0.653046,0.420819,0.551466
0.294549,0.322354,0.294862,0.275412,0.653046,0.420819,0.551466
0.296398,0.322517,0.293666,0.278109,0.647364,0.417741,0.547429
0.296398,0.322517,0.293666,0.278109,0.647364,0.417741,0.547429
0.296738,0.321572,0.293323,0.282286,0.641399,0.416621,0.546068
0.296738,0.321572,0.293323,0.282286,0.641399,0.416621,0.546068
0.244182,0.333759,0.274939,0.295666,0.506476,0.388588,0.490954
0.244182,0.333759,0.274939,0.295666,0.506476,0.388588,0.490954
0.244203,0.333614,0.277696,0.303193,0.507996,0.378044,0.503209
0.244203,0.333614,0.277696,0.303193,0.507996,0.378044,0.503209
0.245205,0.333452,0.278495,0.307475,0.507347,0.377740,0.501213
0.245205,0.333452,0.278495,0.307475,0.507347,0.377740,0.501213
0.245512,0.333072,0.279459,0.318079,0.509216,0.378730,0.501611
0.245512,0.333072,0.279459,0.318079,0.509216,0.378730,0.501611
0.307486,0.302395,0.310669,0.290499,0.559013,0.430174,0.563917
0.307486,0.302395,0.310669,0.290499,0.559013,0.430174,0.563917
0.306425,0.303107,0.307636,0.295381,0.537338,0.416947,0.565679
0.306425,0.303107,0.307636,0.295381,0.537338,0.416947,0.565679
0.308130,0.303257,0.305255,0.304515,0.535476,0.401205,0.565990
0.308130,0.303257,0.305255,0.304515,0.535476,0.401205,0.565990
0.309906,0.333375,0.269434,0.260818,0.692415,0.429928,0.510834
0.309207,0.333739,0.269224,0.264521,0.688008,0.423973,0.509555
0.319319,0.324824,0.294113,0.272976,0.635528,0.412752,0.487740
0.317940,0.325276,0.294707,0.279244,0.637705,0.408805,0.487471
0.326040,0.322937,0.272257,0.255213,0.618600,0.416906,0.476636
0.317989,0.322735,0.272628,0.261798,0.615337,0.418000,0.475035
0.326130,0.337468,0.280218,0.263607,0.685307,0.447754,0.520629
0.322927,0.337266,0.279205,0.264532,0.685786,0.436928,0.520289
0.302203,0.326164,0.276327,0.256709,0.663760,0.426933,0.495833
0.300703,0.327406,0.276192,0.262357,0.663343,0.424411,0.494740
0.298516,0.301209,0.253807,0.233977,0.558930,0.365845,0.513124
0.297163,0.302030,0.253607,0.241492,0.560183,0.366920,0.515758
0.306736,0.317895,0.265188,0.230129,0.644790,0.379262,0.547126
0.305202,0.317860,0.264798,0.242062,0.636534,0.376103,0.547705
0.291172,0.304274,0.256504,0.233495,0.603043,0.375385,0.526632
0.289796,0.303328,0.256144,0.248428,0.601088,0.371418,0.531916
0.292630,0.312038,0.254265,0.227356,0.619725,0.398063,0.538470
0.292173,0.312194,0.254008,0.234679,0.616224,0.390171,0.537912
0.297904,0.301076,0.268353,0.277297,0.553621,0.360906,0.530718
0.296651,0.299926,0.268186,0.283602,0.553475,0.355925,0.532733
0.282949,0.299414,0.296019,0.239739,0.603983,0.376748,0.494340
0.281241,0.300460,0.292748,0.250092,0.600188,0.357599,0.495516
0.288144,0.318082,0.309209,0.256300,0.696704,0.349748,0.537869
0.292784,0.316378,0.318047,0.250460,0.704666,0.362974,0.539166
0.272725,0.301294,0.300760,0.244106,0.653983,0.382227,0.517821
0.268940,0.303991,0.297213,0.252483,0.655876,0.369801,0.517240
0.273512,0.309676,0.299294,0.237617,0.676278,0.394225,0.526594
0.270718,0.313405,0.292723,0.245909,0.671291,0.365490,0.522504
0.276217,0.298122,0.305951,0.283491,0.603262,0.348996,0.505765
0.260310,0.300961,0.252555,0.261245,0.564205,0.472092,0.502546
0.260445,0.300838,0.253505,0.251827,0.595440,0.481730,0.506026
0.260534,0.301403,0.252901,0.246702,0.607996,0.478545,0.511072
0.262346,0.302476,0.254231,0.240683,0.615889,0.475521,0.519189
0.262477,0.301395,0.256514,0.235233,0.620271,0.473493,0.523013
0.254747,0.298082,0.259987,0.230902,0.617482,0.479028,0.533010
0.252912,0.280449,0.245304,0.259105,0.612589,0.476513,0.506905
0.246682,0.293090,0.251986,0.273921,0.575639,0.466458,0.501266
0.253870,0.306293,0.251544,0.276283,0.578240,0.492167,0.531522
0.262475,0.304576,0.257680,0.318433,0.551628,0.484094,0.525298
0.257885,0.296973,0.261068,0.258586,0.620435,0.496674,0.499651
0.252073,0.297196,0.260314,0.275793,0.549341,0.473111,0.495565
0.252010,0.294667,0.254529,0.283345,0.538106,0.473022,0.482647
0.249375,0.308460,0.245559,0.228769,0.622118,0.448697,0.521341
0.246901,0.294648,0.243713,0.262197,0.580324,0.420173,0.521980
0.252972,0.284792,0.250058,0.280545,0.570253,0.441634,0.505359
0.256898,0.297804,0.241360,0.239715,0.615740,0.442228,0.484742
0.255327,0.300022,0.241484,0.241475,0.625595,0.455947,0.496090
0.249708,0.315232,0.251688,0.305372,0.492062,0.397992,0.495526
0.232830,0.305472,0.227687,0.486715,0.376409,0.337523,0.440222
0.274016,0.293130,0.246894,0.260101,0.551073,0.474483,0.524387
0.257745,0.304973,0.251517,0.263812,0.592321,0.476424,0.509113
0.271791,0.297206,0.272050,0.217971,0.594149,0.424907,0.495185
0.303493,0.316098,0.278573,0.164652,0.706403,0.506407,0.575395
0.267721,0.291072,0.268117,0.185558,0.666636,0.454105,0.599369
0.362888,0.380633,0.278458,0.176960,0.792940,0.600414,0.520808
0.367900,0.381633,0.278099,0.172496,0.798043,0.609076,0.523212
0.367783,0.381745,0.278106,0.170443,0.807349,0.611146,0.523598
0.335095,0.345406,0.276515,0.166013,0.774413,0.614068,0.533489
0.335419,0.346098,0.276574,0.165241,0.774887,0.614857,0.532160
0.334474,0.346027,0.276415,0.162210,0.777085,0.606154,0.533687
0.335106,0.345546,0.277178,0.156923,0.781473,0.608767,0.536040
0.335106,0.345546,0.277178,0.156923,0.781473,0.608767,0.536040
0.360902,0.362606,0.279733,0.193931,0.803178,0.584112,0.528426
0.359145,0.363157,0.279776,0.186010,0.809322,0.588735,0.532697
0.363227,0.364747,0.280388,0.184047,0.816838,0.592636,0.533153
0.240811,0.304584,0.257100,0.227730,0.613790,0.484734,0.501950
0.278264,0.311359,0.271759,0.182845,0.627699,0.517592,0.541099
0.613136,0.618625,0.481844,0.083551,0.857957,0.764833,0.479188
0.337775,0.317011,0.266656,0.170931,0.716570,0.519356,0.600071
0.323490,0.311734,0.279883,0.193297,0.796267,0.500638,0.554684
0.345452,0.331752,0.286201,0.163184,0.730853,0.604387,0.558987
0.345452,0.331752,0.286201,0.163184,0.730853,0.604387,0.558987
0.331632,0.384647,0.256374,0.198454,0.709712,0.593795,0.527133
0.331632,0.384647,0.256374,0.198454,0.709712,0.593795,0.527133
0.419645,0.347276,0.306151,0.127856,0.845949,0.624167,0.527713
0.419645,0.347276,0.306151,0.127856,0.845949,0.624167,0.527713
0.409672,0.343616,0.305094,0.120348,0.848468,0.637379,0.543306
0.409672,0.343616,0.305094,0.120348,0.848468,0.637379,0.543306
0.389696,0.378028,0.275150,0.184708,0.820207,0.590333,0.588710
0.389696,0.378028,0.275150,0.184708,0.820207,0.590333,0.588710
0.379843,0.371911,0.272542,0.164491,0.850883,0.590069,0.604622
0.379843,0.371911,0.272542,0.164491,0.850883,0.590069,0.604622
0.418881,0.346863,0.305071,0.128445,0.847097,0.635799,0.524961
0.418881,0.346863,0.305071,0.128445,0.847097,0.635799,0.524961
0.419115,0.344882,0.301945,0.130464,0.850593,0.635431,0.521183
0.419115,0.344882,0.301945,0.130464,0.850593,0.635431,0.521183
0.422355,0.344219,0.301949,0.138822,0.848487,0.640037,0.517773
0.422355,0.344219,0.301949,0.138822,0.848487,0.640037,0.517773
0.391250,0.376408,0.275186,0.187713,0.808383,0.595097,0.589318
0.391250,0.376408,0.275186,0.187713,0.808383,0.595097,0.589318
0.387638,0.376931,0.272850,0.190214,0.767980,0.602658,0.583678
0.387638,0.376931,0.272850,0.190214,0.767980,0.602658,0.583678
0.383223,0.374224,0.271738,0.205517,0.742853,0.585833,0.576098
0.383223,0.374224,0.271738,0.205517,0.742853,0.585833,0.576098
0.378679,0.370833,0.272770,0.168285,0.836799,0.594358,0.604163
0.378679,0.370833,0.272770,0.168285,0.836799,0.594358,0.604163
0.377439,0.369921,0.273157,0.175076,0.826149,0.594037,0.599375
0.377439,0.369921,0.273157,0.175076,0.826149,0.594037,0.599375
0.373497,0.370231,0.271528,0.177848,0.800643,0.604447,0.595711
0.373497,0.370231,0.271528,0.177848,0.800643,0.604447,0.595711
0.372023,0.366924,0.271102,0.189921,0.770300,0.602276,0.585262
0.372023,0.366924,0.271102,0.189921,0.770300,0.602276,0.585262
0.346768,0.358177,0.267291,0.127345,0.832047,0.606115,0.480439
0.346768,0.358177,0.267291,0.127345,0.832047,0.606115,0.480439
0.362529,0.353757,0.306781,0.111127,0.769772,0.566548,0.497633
0.362529,0.353757,0.306781,0.111127,0.769772,0.566548,0.497633
0.248644,0.309999,0.305605,0.321137,0.445498,0.270370,0.518542
0.248644,0.309999,0.305605,0.321137,0.445498,0.270370,0.518542
0.241613,0.321182,0.304028,0.346165,0.367327,0.282588,0.513726
0.241613,0.321182,0.304028,0.346165,0.367327,0.282588,0.513726
0.237426,0.307010,0.302951,0.245432,0.458863,0.383004,0.538196
0.237426,0.307010,0.302951,0.245432,0.458863,0.383004,0.538196
0.240726,0.303700,0.307097,0.215076,0.529705,0.398383,0.556108
0.240726,0.303700,0.307097,0.215076,0.529705,0.398383,0.556108
0.227412,0.289441,0.268734,0.436209,0.391946,0.237804,0.492875
0.227412,0.289441,0.268734,0.436209,0.391946,0.237804,0.492875
0.233138,0.295967,0.293464,0.365227,0.422110,0.263589,0.523407
0.233138,0.295967,0.293464,0.365227,0.422110,0.263589,0.523407
0.239129,0.298363,0.296529,0.248117,0.522325,0.335360,0.544759
0.239129,0.298363,0.296529,0.248117,0.522325,0.335360,0.544759
0.230531,0.269342,0.294934,0.435757,0.395167,0.247571,0.503236
0.240094,0.294542,0.288551,0.386123,0.423205,0.251434,0.532571
0.240094,0.294542,0.288551,0.386123,0.423205,0.251434,0.532571
0.251883,0.291694,0.287993,0.417635,0.408862,0.302612,0.487626
0.251883,0.291694,0.287993,0.417635,0.408862,0.302612,0.487626
0.259210,0.282622,0.299994,0.245878,0.554958,0.419011,0.503849
0.240622,0.276514,0.257177,0.465855,0.477687,0.281085,0.476221
0.250351,0.285564,0.273779,0.411975,0.491334,0.289747,0.495330
0.250351,0.285564,0.273779,0.411975,0.491334,0.289747,0.495330
0.249530,0.289926,0.284699,0.326425,0.559408,0.343694,0.532424
0.249530,0.289926,0.284699,0.326425,0.559408,0.343694,0.532424
0.240112,0.268234,0.260328,0.478152,0.459854,0.294931,0.508619
0.251156,0.288837,0.276773,0.415630,0.498595,0.282708,0.528224
0.251156,0.288837,0.276773,0.415630,0.498595,0.282708,0.528224
0.317719,0.291851,0.277328,0.200299,0.796069,0.541097,0.386559
0.330828,0.299995,0.273797,0.180192,0.793825,0.534938,0.366055
0.297678,0.258667,0.290544,0.203521,0.697474,0.482020,0.426991
0.323492,0.277802,0.298458,0.200932,0.754109,0.504629,0.423091
0.318493,0.267702,0.291577,0.175886,0.773485,0.492838,0.384174
0.310075,0.262955,0.290450,0.197623,0.736744,0.460695,0.415304
0.335767,0.303570,0.277023,0.214841,0.785298,0.539289,0.379327
0.335767,0.303570,0.277023,0.214841,0.785298,0.539289,0.379327
