TPD ID	Activity Type	Target Symbols	Target IDs	Cell Line	Activity
TPD-S8O3RK	Cell viability_2	.	.	VCaP	+++
TPD-O9IIW5	Cell viability_2	.	.	VCaP	+++
TPD-4I8LC7	Cell viability_2	.	.	VCaP	+++
TPD-0HK63C	Cell viability_2	.	.	VCaP	+++
TPD-MB0ESI	Cell viability_2	.	.	VCaP	-
TPD-COCE7G	Cell viability_2	.	.	VCaP	++
TPD-DXI1C9	Cell viability_2	.	.	VCaP	+
TPD-3SSGQ7	Cell viability_2	.	.	VCaP	+++
TPD-YR4VER	Cell viability_2	.	.	VCaP	+
TPD-4H1DK5	Cell viability_2	.	.	VCaP	++
TPD-ON5B9A	Cell viability_2	.	.	VCaP	+++
TPD-7HPVGA	Cell viability_2	.	.	VCaP	+++
TPD-0VAKHK	Cell viability_2	.	.	VCaP	+++
TPD-MI9NCI	Cell viability_2	.	.	VCaP	+++
TPD-4JYITD	Cell viability_2	.	.	VCaP	+++
TPD-BWH55T	Cell viability_2	.	.	VCaP	+++
TPD-Y32ZLH	Cell viability_2	.	.	VCaP	++
TPD-HKRG14	Cell viability_2	.	.	VCaP	+++
TPD-CI1JIU	Cell viability_2	.	.	VCaP	+
TPD-IZUG2W	Cell viability_2	.	.	VCaP	+++
TPD-G9BR2U	Cell viability_2	.	.	VCaP	+++
TPD-VOY34R	Cell viability_2	.	.	VCaP	+++
TPD-3ZWLX3	Cell viability_2	.	.	VCaP	++
TPD-VDOEHT	Cell viability_2	.	.	VCaP	++
TPD-GWL7CY	Cell viability_2	.	.	VCaP	-
TPD-ZIRB7F	Cell viability_2	.	.	VCaP	+++
TPD-KMNKMG	Cell viability_2	.	.	VCaP	+++
TPD-SEHKPQ	Cell viability_2	.	.	VCaP	+++
TPD-S8O3RK	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-U5N0HH	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-9OOM53	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-O9IIW5	Residual rate_1	AR	P10275	CWR22RV1	+
TPD-0HK63C	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-MB0ESI	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-DXI1C9	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-N1V0YU	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-MI9NCI	Residual rate_1	AR	P10275	CWR22RV1	+
TPD-4JYITD	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-BWH55T	Residual rate_1	AR	P10275	CWR22RV1	++
TPD-Y32ZLH	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-HKRG14	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-CI1JIU	Residual rate_1	AR	P10275	CWR22RV1	+
TPD-IZUG2W	Residual rate_1	AR	P10275	CWR22RV1	++
TPD-G9BR2U	Residual rate_1	AR	P10275	CWR22RV1	++
TPD-VOY34R	Residual rate_1	AR	P10275	CWR22RV1	++
TPD-3ZWLX3	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-VDOEHT	Residual rate_1	AR	P10275	CWR22RV1	+
TPD-GWL7CY	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-ZIRB7F	Residual rate_1	AR	P10275	CWR22RV1	-
TPD-KMNKMG	Residual rate_1	AR	P10275	CWR22RV1	++
TPD-SEHKPQ	Residual rate_1	AR	P10275	CWR22RV1	+++
TPD-S8O3RK	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-U5N0HH	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-9OOM53	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-O9IIW5	Residual rate_2	AR	P10275	CWR22RV1	+++
TPD-0HK63C	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-MB0ESI	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-DXI1C9	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-N1V0YU	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-MI9NCI	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-4JYITD	Residual rate_2	AR	P10275	CWR22RV1	+++
TPD-BWH55T	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-Y32ZLH	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-HKRG14	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-CI1JIU	Residual rate_2	AR	P10275	CWR22RV1	+
TPD-IZUG2W	Residual rate_2	AR	P10275	CWR22RV1	++
TPD-G9BR2U	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-VOY34R	Residual rate_2	AR	P10275	CWR22RV1	++
TPD-3ZWLX3	Residual rate_2	AR	P10275	CWR22RV1	++
TPD-VDOEHT	Residual rate_2	AR	P10275	CWR22RV1	+++
TPD-GWL7CY	Residual rate_2	AR	P10275	CWR22RV1	-
TPD-ZIRB7F	Residual rate_2	AR	P10275	CWR22RV1	++
TPD-KMNKMG	Residual rate_2	AR	P10275	CWR22RV1	++
TPD-SEHKPQ	Residual rate_2	AR	P10275	CWR22RV1	+++
TPD-S8O3RK	Residual rate_3	AR	P10275	CWR22RV1	+
TPD-U5N0HH	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-9OOM53	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-O9IIW5	Residual rate_3	AR	P10275	CWR22RV1	+
TPD-0HK63C	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-MB0ESI	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-DXI1C9	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-N1V0YU	Residual rate_3	AR	P10275	CWR22RV1	+
TPD-MI9NCI	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-4JYITD	Residual rate_3	AR	P10275	CWR22RV1	++
TPD-BWH55T	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-Y32ZLH	Residual rate_3	AR	P10275	CWR22RV1	+
TPD-HKRG14	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-CI1JIU	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-IZUG2W	Residual rate_3	AR	P10275	CWR22RV1	++
TPD-G9BR2U	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-VOY34R	Residual rate_3	AR	P10275	CWR22RV1	 -
TPD-3ZWLX3	Residual rate_3	AR	P10275	CWR22RV1	++
TPD-VDOEHT	Residual rate_3	AR	P10275	CWR22RV1	++
TPD-GWL7CY	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-ZIRB7F	Residual rate_3	AR	P10275	CWR22RV1	++
TPD-KMNKMG	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-SEHKPQ	Residual rate_3	AR	P10275	CWR22RV1	-
TPD-S8O3RK	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-U5N0HH	Residual rate_4	AR-V7	P10275-3	CWR22RV1	-
TPD-9OOM53	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-O9IIW5	Residual rate_4	AR-V7	P10275-3	CWR22RV1	++
TPD-0HK63C	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-MB0ESI	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+
TPD-DXI1C9	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-N1V0YU	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+
TPD-MI9NCI	Residual rate_4	AR-V7	P10275-3	CWR22RV1	++
TPD-4JYITD	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-BWH55T	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-Y32ZLH	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-HKRG14	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-CI1JIU	Residual rate_4	AR-V7	P10275-3	CWR22RV1	-
TPD-IZUG2W	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-G9BR2U	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-VOY34R	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-3ZWLX3	Residual rate_4	AR-V7	P10275-3	CWR22RV1	++
TPD-VDOEHT	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+
TPD-GWL7CY	Residual rate_4	AR-V7	P10275-3	CWR22RV1	-
TPD-ZIRB7F	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+
TPD-KMNKMG	Residual rate_4	AR-V7	P10275-3	CWR22RV1	+++
TPD-SEHKPQ	Residual rate_4	AR-V7	P10275-3	CWR22RV1	++
TPD-S8O3RK	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-U5N0HH	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-9OOM53	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-O9IIW5	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+++
TPD-0HK63C	Residual rate_5	AR-V7	P10275-3	CWR22RV1	-
TPD-MB0ESI	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-DXI1C9	Residual rate_5	AR-V7	P10275-3	CWR22RV1	++
TPD-N1V0YU	Residual rate_5	AR-V7	P10275-3	CWR22RV1	-
TPD-MI9NCI	Residual rate_5	AR-V7	P10275-3	CWR22RV1	++
TPD-4JYITD	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+++
TPD-BWH55T	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+++
TPD-Y32ZLH	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+++
TPD-HKRG14	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-CI1JIU	Residual rate_5	AR-V7	P10275-3	CWR22RV1	-
TPD-IZUG2W	Residual rate_5	AR-V7	P10275-3	CWR22RV1	++
TPD-G9BR2U	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-VOY34R	Residual rate_5	AR-V7	P10275-3	CWR22RV1	++
TPD-3ZWLX3	Residual rate_5	AR-V7	P10275-3	CWR22RV1	-
TPD-VDOEHT	Residual rate_5	AR-V7	P10275-3	CWR22RV1	-
TPD-GWL7CY	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-ZIRB7F	Residual rate_5	AR-V7	P10275-3	CWR22RV1	++
TPD-KMNKMG	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+++
TPD-SEHKPQ	Residual rate_5	AR-V7	P10275-3	CWR22RV1	+
TPD-S8O3RK	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-U5N0HH	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-9OOM53	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-O9IIW5	Residual rate_6	AR-V7	P10275-3	CWR22RV1	++
TPD-0HK63C	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-MB0ESI	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-DXI1C9	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-N1V0YU	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-MI9NCI	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-4JYITD	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-BWH55T	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-Y32ZLH	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-HKRG14	Residual rate_6	AR-V7	P10275-3	CWR22RV1	++
TPD-CI1JIU	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-IZUG2W	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-G9BR2U	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-VOY34R	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-3ZWLX3	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-VDOEHT	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-GWL7CY	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-ZIRB7F	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+
TPD-KMNKMG	Residual rate_6	AR-V7	P10275-3	CWR22RV1	+++
TPD-SEHKPQ	Residual rate_6	AR-V7	P10275-3	CWR22RV1	-
TPD-5HPRWD	IC50	.	.	HEK-293	417nM
TPD-3YFAKW	IC50	.	.	HEK-293	557nM
TPD-U606A8	IC50	.	.	HEK-293	>10000.0nM
TPD-30WY6C	IC50	.	.	HEK-293	78.1nM
TPD-E5R1M4	IC50	.	.	HEK-293	83.3nM
TPD-TQN26T	IC50	.	.	HEK-293	163nM
TPD-5JZUQ7	IC50	.	.	HEK-293	178nM
TPD-U6QK56	IC50	.	.	HEK-293	280nM
TPD-K89O95	IC50	.	.	HEK-293	65.6nM
TPD-N0GQDX	IC50	.	.	HEK-293	121nM
TPD-89IG33	IC50	.	.	HEK-293	826nM
TPD-GN1PPE	IC50	.	.	HEK-293	396.00nM
TPD-EQKVLT	IC50	.	.	HEK-293	167.00nM
TPD-ZW3YZD	IC50	.	.	HEK-293	509.00nM
TPD-TZ49J3	IC50	.	.	HEK-293	2510nM
TPD-F4FVY6	IC50	.	.	HEK-293	>10000.0nM
TPD-NXHFY3	IC50	.	.	HEK-293	62.1nM
TPD-MR50TK	IC50	.	.	HEK-293	445nM
TPD-VLAT5H	IC50	.	.	HEK-293	235nM
TPD-WBNB8B	IC50	.	.	HEK-293	>10000.0nM
TPD-0IF6DK	IC50	.	.	HEK-293	283nM
TPD-BXNBCH	IC50	.	.	HEK-293	317.00nM
TPD-1PHE6O	IC50	.	.	HEK-293	81.08nM
TPD-QK8QWO	IC50	.	.	HEK-293	28.67nM
TPD-VBS5FH	IC50	.	.	HEK-293	555.6nM
TPD-9G1R0T	IC50	.	.	HEK-293	416.6nM
TPD-CPRX8Z	IC50	.	.	HEK-293	313.7nM
TPD-Y62IQ3	IC50	.	.	HEK-293	337nM
TPD-4Q018U	IC50	.	.	HEK-293	241nM
TPD-FTEVTA	IC50	.	.	HEK-293	147.7nM
TPD-24OPD1	IC50	.	.	HEK-293	69.95nM
TPD-LZR6HD	IC50	.	.	HEK-293	184.74nM
TPD-UXGRJW	IC50	.	.	HEK-293	>10000.0nM
TPD-B3I4QX	IC50	.	.	HEK-293	>10000.0nM
TPD-TDOTF4	IC50	.	.	HEK-293	88.82nM
TPD-DKO6OG	IC50	.	.	HEK-293	>10000.0nM
TPD-95641H	IC50	.	.	HEK-293	>10000.0nM
TPD-RPOR54	IC50	.	.	HEK-293	>10000.0nM
TPD-VDSU3X	IC50	.	.	HEK-293	>10000.0nM
TPD-EYLQUD	IC50	.	.	HEK-293	301.3nM
TPD-SFAFK1	IC50	.	.	HEK-293	>10000.0nM
TPD-M2H8YC	IC50	.	.	HEK-293	>10000.0nM
TPD-T4WNUV	IC50	.	.	HEK-293	>10000.0nM
TPD-Y5HPPI	IC50	.	.	HEK-293	75.42nM
TPD-5OJK3E	IC50	.	.	HEK-293	184.7nM
TPD-KRI9CT	IC50	.	.	HEK-293	232nM
TPD-00MKD6	IC50	.	.	HEK-293	>10000.0nM
TPD-3JKR2P	IC50	.	.	HEK-293	>10000.0nM
TPD-VCSMGW	IC50	.	.	HEK-293	>10000.0nM
TPD-HKO21Q	IC50	.	.	HEK-293	>10000.0nM
TPD-RPAIFS	IC50	.	.	HEK-293	>10000.0nM
TPD-U2XQRY	IC50	.	.	HEK-293	>10000.0nM
TPD-OESHCQ	IC50	.	.	HEK-293	>10000.0nM
TPD-XG5BSA	IC50	.	.	HEK-293	>10000.0nM
TPD-YA2U8Y	IC50	.	.	HEK-293	>10000.0nM
TPD-M0KVMJ	IC50	.	.	HEK-293	>10000.0nM
TPD-0PM9UB	IC50	.	.	HEK-293	>10000.0nM
TPD-ZXDPCU	IC50	.	.	HEK-293	>10000.0nM
TPD-94FIQD	IC50	.	.	HEK-293	>10000.0nM
TPD-MF2GJ9	IC50	.	.	HEK-293	>10000.0nM
TPD-4VNR4X	IC50	.	.	HEK-293	133.2nM
TPD-WIYGP6	IC50	.	.	HEK-293	331.9nM
TPD-6PYZZL	IC50	.	.	HEK-293	400.3nM
TPD-FW64P4	IC50	.	.	HEK-293	167.7nM
TPD-8C66Y6	IC50	.	.	HEK-293	97.37nM
TPD-W7JTC1	IC50	.	.	HEK-293	>10000.0nM
TPD-BH2BH9	IC50	.	.	HEK-293	>10000.0nM
TPD-M0VNUB	IC50	.	.	HEK-293	>10000.0nM
TPD-LM9LFQ	IC50	.	.	HEK-293	>10000.0nM
TPD-DC8LIT	IC50	.	.	HEK-293	>10000.0nM
TPD-60X0NB	IC50	.	.	HEK-293	>10000.0nM
TPD-4YOC6F	IC50	.	.	HEK-293	>10000.0nM
TPD-9Z79WK	IC50	.	.	HEK-293	>10000.0nM
TPD-KL7Y1I	IC50	.	.	HEK-293	>10000.0nM
TPD-U9YKZI	IC50	.	.	HEK-293	>10000.0nM
TPD-K6VL61	IC50	.	.	HEK-293	>10000.0nM
TPD-K0YOI4	IC50	.	.	HEK-293	>10000.0nM
TPD-CS1E8E	IC50	.	.	HEK-293	>10000.0nM
TPD-QDXBTT	IC50	.	.	HEK-293	>10000.0nM
TPD-7J392T	IC50	.	.	HEK-293	>10000.0nM
TPD-TTSDSU	IC50	.	.	HEK-293	290.4nM
TPD-12FBZX	IC50	.	.	HEK-293	>10000.0nM
TPD-82L0V4	IC50	.	.	HEK-293	>10000.0nM
TPD-420W5X	IC50	.	.	HEK-293	>10000.0nM
TPD-XT4S7I	IC50	.	.	HEK-293	>10000.0nM
TPD-Z6AZHG	IC50	.	.	HEK-293	>10000.0nM
TPD-WD0TNT	IC50	.	.	HEK-293	>10000.0nM
TPD-9YW6W8	IC50	.	.	HEK-293	>10000.0nM
TPD-Y6HVAL	IC50	.	.	HEK-293	>10000.0nM
TPD-P5OJ6K	IC50	.	.	HEK-293	>10000.0nM
TPD-SBD5EF	IC50	.	.	HEK-293	>10000.0nM
TPD-SL9PU9	IC50	.	.	HEK-293	>10000.0nM
TPD-AZ96AL	IC50	.	.	HEK-293	>10000.0nM
TPD-SBJC3J	IC50	.	.	HEK-293	>10000.0nM
TPD-IQJIY5	IC50	.	.	HEK-293	98.83nM
TPD-F5AQKT	IC50	.	.	HEK-293	>10000.0nM
TPD-PQM8I7	IC50	.	.	HEK-293	96.78nM
TPD-FIWO8Y	IC50	.	.	HEK-293	104.7nM
TPD-I9KTY1	IC50	.	.	HEK-293	>10000.0nM
TPD-Z0G65I	IC50	.	.	HEK-293	>10000.0nM
TPD-1E53JD	IC50	.	.	HEK-293	>10000.0nM
TPD-EYNJXB	IC50	.	.	HEK-293	>10000.0nM
TPD-G33PHC	IC50	.	.	HEK-293	>10000.0nM
TPD-92MVC8	IC50	.	.	HEK-293	>10000.0nM
TPD-25X57G	IC50	.	.	HEK-293	38.34nM
TPD-7VRDJG	IC50	.	.	HEK-293	>10000.0nM
TPD-27TCG0	IC50	.	.	HEK-293	>10000.0nM
TPD-1BTTZP	IC50	.	.	HEK-293	>10000.0nM
TPD-AFZGWI	IC50	.	.	HEK-293	56.81nM
TPD-ACOAUW	IC50	.	.	HEK-293	>10000.0nM
TPD-QE7ZW2	IC50	.	.	HEK-293	>10000.0nM
TPD-0W7M1N	IC50	.	.	HEK-293	>10000.0nM
TPD-ONQLFB	IC50	.	.	HEK-293	>10000.0nM
TPD-B30O21	IC50	.	.	HEK-293	>10000.0nM
TPD-YH2U1M	IC50	.	.	HEK-293	>10000.0nM
TPD-G7TCNU	IC50	.	.	HEK-293	>10000.0nM
TPD-9H32M1	IC50	.	.	HEK-293	>10000.0nM
TPD-8BSYXG	IC50	.	.	HEK-293	>10000.0nM
TPD-K2DJ6G	IC50	.	.	HEK-293	>10000.0nM
TPD-KG3ROD	IC50	.	.	HEK-293	>10000.0nM
TPD-WDY5N9	IC50	.	.	HEK-293	>10000.0nM
TPD-BGCUTN	IC50	.	.	HEK-293	>10000.0nM
TPD-LILPF4	IC50	.	.	HEK-293	26.78nM
TPD-Y4ODIZ	IC50	.	.	HEK-293	116.1nM
TPD-GYSLII	IC50	.	.	HEK-293	>10000.0nM
TPD-A6WDLH	IC50	.	.	HEK-293	>10000.0nM
TPD-TIIISA	IC50	.	.	HEK-293	>10000.0nM
TPD-XXBD6E	IC50	.	.	HEK-293	34.07nM
TPD-NK7VFR	IC50	.	.	HEK-293	32.31nM
TPD-3VTYHA	IC50	.	.	HEK-293	>10000.0nM
TPD-S8164J	IC50	.	.	HEK-293	>10000.0nM
TPD-Z0LVI6	IC50	.	.	HEK-293	>10000.0nM
TPD-EXPH3C	IC50	.	.	HEK-293	>10000.0nM
TPD-LB31M6	IC50	.	.	HEK-293	>10000.0nM
TPD-73IENL	IC50	.	.	HEK-293	>10000.0nM
TPD-1K3IAD	IC50	.	.	HEK-293	>10000.0nM
TPD-X63QHQ	IC50	.	.	HEK-293	>10000.0nM
TPD-H9ZDEO	IC50	.	.	HEK-293	>10000.0nM
TPD-605JW7	IC50	.	.	HEK-293	>10000.0nM
TPD-QTKG7F	IC50	.	.	HEK-293	>10000.0nM
TPD-YRM8WT	IC50	.	.	HEK-293	>10000.0nM
TPD-8W8Y6E	IC50	.	.	HEK-293	>10000.0nM
TPD-TC6UBY	IC50	.	.	HEK-293	>10000.0nM
TPD-7SR6AF	IC50	.	.	HEK-293	>10000.0nM
TPD-773QF3	IC50	.	.	HEK-293	8854.9nM
TPD-1KS36P	IC50	.	.	HEK-293	>10000nM
TPD-5AOPV3	IC50	.	.	HEK-293	>10000.0nM
TPD-KBJBT3	IC50	.	.	HEK-293	>10000.0nM
TPD-J6MU79	IC50	.	.	HEK-293	142.5nM
TPD-E9ZMYM	IC50	.	.	HEK-293	>10000.0nM
TPD-6DDGGQ	IC50	.	.	HEK-293	>10000.0nM
TPD-KV0GR5	IC50	.	.	HEK-293	>10000.0nM
TPD-OT4VE6	IC50	.	.	HEK-293	>10000.0nM
TPD-66PL0A	IC50	.	.	HEK-293	>10000.0nM
TPD-J8XFB0	IC50	.	.	HEK-293	>10000.0nM
TPD-1ZPNWU	IC50	.	.	HEK-293	108.5nM
TPD-1QZGWG	IC50	.	.	HEK-293	208.8nM
TPD-GAM0P6	IC50	.	.	HEK-293	>10000.0nM
TPD-XF0D8P	IC50	.	.	HEK-293	>10000.0nM
TPD-O399MR	IC50	.	.	HEK-293	>10000.0nM
TPD-FI2JEZ	IC50	.	.	HEK-293	>10000.0nM
TPD-YIAJVM	IC50	.	.	HEK-293	>10000.0nM
TPD-DZTTWF	IC50	.	.	HEK-293	>10000.0nM
TPD-3YI3C2	IC50	.	.	HEK-293	>10000.0nM
TPD-IGM43J	IC50	.	.	HEK-293	>10000.0nM
TPD-SXQ2DM	IC50	.	.	HEK-293	>10000.0nM
TPD-MGW94W	IC50	.	.	HEK-293	>10000.0nM
TPD-9L1GWD	IC50	.	.	HEK-293	>10000.0nM
TPD-5B8C72	IC50	.	.	HEK-293	>10000.0nM
TPD-16TTW6	IC50	.	.	HEK-293	>10000.0nM
TPD-KW4OLL	IC50	.	.	HEK-293	>10000.0nM
TPD-7DC14I	IC50	.	.	HEK-293	978.8nM
TPD-3RZ903	IC50	.	.	HEK-293	642.5nM
TPD-BDOFWH	IC50	.	.	HEK-293	>10000.0nM
TPD-66Q3LA	IC50	.	.	HEK-293	>10000.0nM
TPD-I5A0MH	IC50	.	.	HEK-293	221.6nM
TPD-VER8MF	IC50	.	.	HEK-293	>10000.0nM
TPD-94WOCI	IC50	.	.	HEK-293	>10000.0nM
TPD-5HPRWD	DC50	BTK	Q06187	TMD-8	3nM
TPD-3YFAKW	DC50	BTK	Q06187	TMD-8	1.85nM
TPD-U606A8	DC50	BTK	Q06187	TMD-8	20.6nM
TPD-30WY6C	DC50	BTK	Q06187	TMD-8	1.26nM
TPD-E5R1M4	DC50	BTK	Q06187	TMD-8	1.45nM
TPD-TQN26T	DC50	BTK	Q06187	TMD-8	3.42nM
TPD-5JZUQ7	DC50	BTK	Q06187	TMD-8	2.51nM
TPD-U6QK56	DC50	BTK	Q06187	TMD-8	2.97nM
TPD-K89O95	DC50	BTK	Q06187	TMD-8	2.26nM
TPD-N0GQDX	DC50	BTK	Q06187	TMD-8	1.75nM
TPD-89IG33	DC50	BTK	Q06187	TMD-8	5.71nM
TPD-GN1PPE	DC50	BTK	Q06187	TMD-8	4.58nM
TPD-EQKVLT	DC50	BTK	Q06187	TMD-8	2.79nM
TPD-ZW3YZD	DC50	BTK	Q06187	TMD-8	3.22nM
TPD-A2ZBSQ	DC50	BTK	Q06187	TMD-8	27.9nM
TPD-ARM1UK	DC50	BTK	Q06187	TMD-8	9.71nM
TPD-6O1P9K	DC50	BTK	Q06187	TMD-8	14.4nM
TPD-TZ49J3	DC50	BTK	Q06187	TMD-8	9.62nM
TPD-GN3G8L	DC50	BTK	Q06187	TMD-8	17.9nM
TPD-F4FVY6	DC50	BTK	Q06187	TMD-8	13.4nM
TPD-NXHFY3	DC50	BTK	Q06187	TMD-8	1.51nM
TPD-XQ3J5R	DC50	BTK	Q06187	TMD-8	1.31nM
TPD-MR50TK	DC50	BTK	Q06187	TMD-8	9.23nM
